sample	phenotype
sample1	149.889217299932
sample2	151.323665948411
sample3	152.32475776963
sample4	151.962644445486
sample5	152.174354831299
sample6	151.846915226002
sample7	149.809621909985
sample8	151.525415333535
sample9	150.690949185457
sample10	153.989607903647
sample11	152.078648294093
sample12	150.837944495789
sample13	149.177112104449
sample14	150.744919165491
sample15	150.92121874928
sample16	151.867714593064
sample17	151.307208556662
sample18	150.045279336145
sample19	152.692059467407
sample20	149.685511209384
