sample	phenotype
sample1	10.0848289598773
sample2	38.7461100456872
sample3	39.5820502004041
sample4	18.7911583686561
sample5	20.4053331026832
sample6	20.2998599987123
sample7	21.0785548645341
sample8	29.9254348749633
sample9	39.8520054258685
sample10	9.62810617604449
sample11	40.2418168305765
sample12	40.6917848284266
sample13	9.70133543285074
sample14	38.4355348145021
sample15	37.9150714810856
sample16	30.3785701304814
sample17	8.27187678113741
sample18	9.46008442268388
sample19	11.5256206561424
sample20	10.3184032940798
